,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
5754,0.6511399999999999,0.67381,0.69321,0.70385,0.70536,0.7024699999999999,0.69668,0.66915,0.615,0.5442,0.46341000000000004,0.37938,0.30785,0.25995999999999997,0.2472,0.26498,0.27402,0.2461,0.21475,0.21318,0.22541999999999998,0.26183,0.30913,0.35631999999999997,0.36778,0.34843,0.31726,0.29448,0.28772,0.30496999999999996,0.35198,0.41006000000000004,0.45896000000000003,0.48381,0.49478999999999995,0.52279,0.5568,0.58335,0.59829,0.6115,0
1904,0.43037,0.47098,0.50265,0.5209,0.53474,0.54311,0.52827,0.48593000000000003,0.43222,0.38054,0.34298,0.32055,0.32447,0.33995,0.33821,0.33769,0.35641999999999996,0.37235,0.38223,0.39546,0.43036,0.47097,0.50263,0.52089,0.53472,0.54309,0.5282600000000001,0.48591000000000006,0.4322,0.38051999999999997,0.34296,0.32054,0.32445999999999997,0.33994,0.33819,0.33768000000000004,0.35641,0.37234,0.38223,0.39546,8
4528,0.51683,0.54609,0.5657800000000001,0.57503,0.58503,0.5689,0.52823,0.47043,0.39952,0.32444,0.2645,0.24179,0.26745,0.31692,0.35881,0.38638,0.40842,0.43503000000000003,0.45857,0.48502,0.5171600000000001,0.54643,0.56613,0.57536,0.58539,0.5693,0.52863,0.47081000000000006,0.39989,0.32477,0.26469000000000004,0.24178000000000002,0.26726,0.31671,0.35866,0.38625,0.40821999999999997,0.43478999999999995,0.45829,0.48472,9
5054,0.43291,0.46058000000000004,0.4856,0.50549,0.53249,0.5404,0.5150399999999999,0.46766,0.40852,0.35026,0.31085,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39424000000000003,0.40871999999999997,0.41562,0.43291,0.46058000000000004,0.4856,0.50549,0.53249,0.5404,0.5150399999999999,0.46766,0.40852,0.35026,0.31085,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39424000000000003,0.40871999999999997,0.41562,0
5258,0.43291,0.46058000000000004,0.4856,0.50549,0.53249,0.5404,0.5150399999999999,0.46766,0.40852,0.35026,0.31085,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39424000000000003,0.40871999999999997,0.41562,0.43291,0.46058000000000004,0.4856,0.50549,0.53249,0.5404,0.5150399999999999,0.46766,0.40852,0.35026,0.31085,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39424000000000003,0.40871999999999997,0.41562,0
987,0.15634,0.1957,0.23446,0.26664,0.29835,0.32188,0.32505,0.31521,0.29701,0.27381,0.2497,0.22219,0.19309,0.16280999999999998,0.14207,0.12542999999999999,0.12800999999999998,0.1328,0.1314,0.13442,0.15897,0.19833,0.23706,0.26929000000000003,0.30108,0.32465,0.32771999999999996,0.31785,0.29959,0.27626999999999996,0.25194,0.22408000000000003,0.19454000000000002,0.16369,0.14225,0.1238,0.12616,0.13080999999999998,0.12914,0.13198,5
2230,0.47296000000000005,0.46512,0.44935,0.4277,0.40591,0.36746999999999996,0.31126,0.2473,0.18505,0.165,0.21005,0.27153,0.33198,0.38772,0.43076000000000003,0.44728,0.44745,0.46258999999999995,0.47353999999999996,0.47691999999999996,0.47503,0.46716,0.45132,0.42956000000000005,0.40776,0.36938000000000004,0.31314000000000003,0.24911,0.18649000000000002,0.16479000000000002,0.20854,0.26982,0.33016999999999996,0.38584,0.42896999999999996,0.44551999999999997,0.44553999999999994,0.46057,0.47148,0.47484,1
1142,0.49792,0.50545,0.51339,0.51883,0.51537,0.4915,0.44431000000000004,0.38525,0.32986,0.29782,0.30284,0.35372,0.41548,0.47088,0.51373,0.5201,0.50002,0.50581,0.50869,0.5020100000000001,0.49818,0.50564,0.51355,0.5189199999999999,0.51548,0.49168999999999996,0.44454,0.38545999999999997,0.32998,0.2978,0.30263,0.35338,0.41511000000000003,0.47047,0.51334,0.51979,0.49968999999999997,0.50546,0.50837,0.50171,7
6575,0.15145999999999998,0.19091,0.22976999999999997,0.26216999999999996,0.29394000000000003,0.31739,0.32015,0.31032,0.29225999999999996,0.26957,0.24600000000000002,0.21908000000000002,0.19066,0.16147,0.1423,0.12763,0.13119,0.13623,0.13517,0.13871,0.16352,0.20278,0.24141999999999997,0.27343,0.30513,0.32874000000000003,0.33224000000000004,0.32237,0.304,0.28023000000000003,0.25543000000000005,0.22705999999999998,0.19694,0.1653,0.14269,0.12245999999999999,0.12336,0.12775,0.12577,0.12813,5
6389,0.52733,0.5524899999999999,0.5694600000000001,0.57598,0.57322,0.5516300000000001,0.50165,0.43743999999999994,0.36789,0.30859000000000003,0.27483,0.28512,0.3394,0.39299999999999996,0.41953,0.43233999999999995,0.4467,0.46679,0.48133000000000004,0.49806999999999996,0.52278,0.54803,0.56511,0.5716399999999999,0.56893,0.5474399999999999,0.49758,0.43348000000000003,0.36427,0.30604000000000003,0.27428,0.28791,0.34301,0.39701,0.42373999999999995,0.43665,0.45088,0.47106000000000003,0.48575,0.50262,10
