,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
2478,0.17834,0.28171999999999997,0.37526,0.44975,0.5088699999999999,0.5604,0.60334,0.63021,0.63967,0.6314,0.60565,0.56317,0.50527,0.43409,0.35845,0.30555,0.25758000000000003,0.15887,0.045243,0.068245,0.17814000000000002,0.28151,0.37506,0.44956999999999997,0.50869,0.5602,0.60314,0.6300100000000001,0.63946,0.6312,0.60544,0.56296,0.5050600000000001,0.43386,0.35811,0.30513,0.25725,0.15864,0.045023,0.068457,4
4021,0.38051999999999997,0.48234,0.57063,0.63598,0.67477,0.70878,0.73098,0.7339,0.71655,0.67933,0.62332,0.5502,0.46225,0.36403,0.27018000000000003,0.18411,0.09152300000000001,0.023256,0.14487,0.26444,0.37651999999999997,0.47838,0.5666800000000001,0.63289,0.67133,0.70467,0.7267600000000001,0.72969,0.71235,0.67515,0.61915,0.54604,0.4581,0.35991999999999996,0.26632,0.18045,0.087852,0.023645,0.14879,0.26823,9
5595,0.32006999999999997,0.42539,0.51845,0.59013,0.63966,0.68087,0.70953,0.71942,0.70997,0.68137,0.63441,0.5704199999999999,0.49154,0.40353,0.32706,0.25021,0.15494000000000002,0.03676,0.08546799999999999,0.2056,0.32006999999999997,0.42539,0.51844,0.59008,0.63961,0.68087,0.70953,0.71942,0.70998,0.68138,0.63442,0.57044,0.49157,0.40363000000000004,0.32729,0.25042,0.155,0.036784,0.08546000000000001,0.2056,6
5094,0.24952,0.3636,0.46626999999999996,0.55103,0.6108,0.6546,0.69077,0.71082,0.7116100000000001,0.6923600000000001,0.65512,0.6029899999999999,0.53361,0.4505,0.36596999999999996,0.30694,0.24825,0.13455999999999999,0.0078567,0.12259,0.24495,0.35902,0.46166,0.54606,0.6057600000000001,0.64965,0.68611,0.70622,0.70703,0.6878,0.65079,0.59883,0.52951,0.44665,0.36415,0.30645,0.24566999999999997,0.13013,0.0065244,0.12697999999999998,2
5074,0.17582,0.27683,0.36912,0.44401999999999997,0.49823999999999996,0.5475899999999999,0.58913,0.6148399999999999,0.62366,0.61528,0.58995,0.54842,0.49196000000000006,0.42268999999999995,0.35015,0.29773,0.24823,0.15142,0.040956,0.069334,0.17624,0.27724,0.36951,0.4443,0.49851999999999996,0.5479999999999999,0.58954,0.61526,0.6240899999999999,0.6157100000000001,0.59039,0.54886,0.49241,0.42318,0.35086999999999996,0.29857,0.24886,0.1519,0.041408,0.068897,1
4729,0.37865,0.48049,0.5687800000000001,0.63459,0.67319,0.70685,0.7289899999999999,0.7319100000000001,0.7145699999999999,0.6773600000000001,0.62136,0.54823,0.46029,0.36207,0.26829000000000003,0.18229,0.089749,0.023413,0.14672000000000002,0.26621,0.37828,0.48012,0.56842,0.6342,0.67281,0.70648,0.72863,0.73156,0.71421,0.67701,0.6210100000000001,0.54789,0.45995,0.36177,0.26811999999999997,0.18217,0.08953,0.023445,0.14705,0.26655999999999996,9
1883,0.26554,0.37524,0.47423999999999994,0.55894,0.62165,0.66492,0.6947300000000001,0.71099,0.70944,0.68924,0.6519199999999999,0.60058,0.53504,0.46571999999999997,0.40686,0.33061,0.21899999999999997,0.09764400000000001,0.026032999999999997,0.14816,0.26558000000000004,0.37529,0.47428000000000003,0.55898,0.62169,0.66496,0.69477,0.71103,0.70948,0.68928,0.65196,0.6006199999999999,0.53508,0.46574,0.40688,0.33064,0.21904,0.097684,0.025993000000000002,0.14812,8
916,0.32009,0.42541,0.51846,0.59009,0.63963,0.68089,0.70955,0.71944,0.71,0.6814,0.63444,0.5704600000000001,0.49158,0.40364,0.32729,0.25042,0.15500999999999998,0.036802,0.08544,0.20558,0.32005,0.42536999999999997,0.5184300000000001,0.59011,0.63964,0.68085,0.7095100000000001,0.7194,0.70995,0.68135,0.63439,0.5704100000000001,0.49151999999999996,0.40352,0.32706,0.25021,0.15492999999999998,0.036743,0.085487,0.20561999999999997,6
6211,0.37206999999999996,0.47936999999999996,0.57343,0.64822,0.6945,0.7260300000000001,0.74575,0.74738,0.72919,0.69107,0.63535,0.56506,0.47925,0.3847,0.30864,0.22846,0.1231,0.0090036,0.13063,0.25511999999999996,0.37279,0.48008999999999996,0.57415,0.64894,0.69522,0.7267600000000001,0.74648,0.74811,0.72992,0.6918,0.63608,0.5657800000000001,0.47997,0.38534,0.30916,0.22898000000000002,0.1238,0.009072700000000001,0.12988,0.25438,3
6658,0.3829,0.49187,0.58657,0.6603600000000001,0.70954,0.7408600000000001,0.76107,0.76267,0.7438899999999999,0.70467,0.64741,0.5753,0.4873,0.38952,0.31088000000000005,0.23060999999999998,0.12558,0.0093656,0.13324,0.26041,0.38040999999999997,0.48938000000000004,0.58408,0.65779,0.70697,0.73832,0.75857,0.76018,0.7414,0.70218,0.64494,0.57284,0.48483000000000004,0.38723,0.30901,0.22874,0.12319000000000001,0.0092031,0.13582,0.26295,5
