,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
526,0.37919,0.41607,0.46183,0.5317,0.6110899999999999,0.66455,0.69023,0.7058300000000001,0.71535,0.71896,0.72483,0.7266600000000001,0.7157,0.69421,0.65249,0.5927600000000001,0.52284,0.46001000000000003,0.40781,0.37585,0.37942,0.41639,0.46216,0.53196,0.61138,0.66496,0.6906800000000001,0.70627,0.7157899999999999,0.71934,0.72514,0.7269399999999999,0.7159300000000001,0.69445,0.65284,0.59315,0.52307,0.46013000000000004,0.40781,0.37575,5
611,0.33776,0.35512,0.38638,0.45646000000000003,0.5264,0.56735,0.61535,0.6645800000000001,0.70765,0.74044,0.76062,0.76748,0.76094,0.7415,0.70377,0.64562,0.57062,0.49446,0.42361000000000004,0.36641999999999997,0.33813000000000004,0.35557,0.38685,0.45691000000000004,0.5269,0.56776,0.61568,0.66484,0.70786,0.7406,0.76074,0.76755,0.76097,0.7415,0.7037899999999999,0.64565,0.57063,0.49438000000000004,0.42345,0.36617,9
4178,0.40899,0.44656,0.48896000000000006,0.55133,0.628,0.68805,0.71762,0.7360899999999999,0.74715,0.75149,0.75807,0.75945,0.74646,0.7219,0.67747,0.61743,0.55218,0.49035,0.43851999999999997,0.40642,0.40898,0.44653999999999994,0.48894,0.5513,0.6279600000000001,0.68801,0.71758,0.73605,0.7471,0.75144,0.75802,0.75941,0.74642,0.7218600000000001,0.67743,0.61739,0.55215,0.49032,0.4385,0.40641,8
21,0.36948000000000003,0.3961,0.43032,0.49155,0.57403,0.6278100000000001,0.65264,0.66906,0.68155,0.6905,0.70334,0.71245,0.70881,0.69397,0.65757,0.603,0.5373399999999999,0.47598,0.42151000000000005,0.38218,0.36954000000000004,0.39625,0.43051999999999996,0.4918,0.5743,0.62808,0.65291,0.66935,0.68185,0.6908,0.70362,0.71272,0.70907,0.69423,0.65784,0.60328,0.53757,0.47617,0.42163,0.38223,3
153,0.34743,0.38874000000000003,0.44702,0.52822,0.6067899999999999,0.65765,0.69238,0.7207399999999999,0.74297,0.76689,0.78728,0.79281,0.7857,0.76107,0.71675,0.66133,0.6034,0.54803,0.50124,0.47098999999999996,0.46863999999999995,0.50038,0.53575,0.58398,0.6460199999999999,0.70957,0.74555,0.7577,0.7592899999999999,0.75255,0.74002,0.73009,0.71263,0.68261,0.63961,0.57799,0.50589,0.43668,0.3788,0.34426,8
6661,0.40899,0.44656,0.48896000000000006,0.55133,0.628,0.68805,0.71762,0.7360899999999999,0.74715,0.75149,0.75807,0.75945,0.74646,0.7219,0.67747,0.61743,0.55218,0.49035,0.43851999999999997,0.40642,0.40898,0.44653999999999994,0.48894,0.5513,0.6279600000000001,0.68801,0.71758,0.73605,0.7471,0.75144,0.75803,0.75941,0.74642,0.7218600000000001,0.67743,0.6174,0.55215,0.49032,0.4385,0.40641,8
3525,0.40898,0.44653999999999994,0.48894,0.5513,0.6279600000000001,0.68801,0.71758,0.73606,0.74711,0.75144,0.75803,0.75941,0.74642,0.7218600000000001,0.67743,0.6174,0.55215,0.49032,0.4385,0.40641,0.40899,0.44656,0.48896000000000006,0.55133,0.628,0.68805,0.71762,0.7360899999999999,0.74715,0.75149,0.75807,0.75945,0.74645,0.7219,0.67747,0.61743,0.55218,0.49035,0.43851999999999997,0.40642,8
4773,0.33815,0.35554,0.3868,0.4568,0.52682,0.56767,0.61557,0.66472,0.70773,0.74047,0.7606,0.76742,0.76084,0.74137,0.7036600000000001,0.64552,0.5705,0.49427,0.42335,0.36611,0.33774,0.35515,0.38643,0.45656,0.5264800000000001,0.5674399999999999,0.61546,0.6647,0.70778,0.74057,0.76074,0.76761,0.76107,0.74162,0.70389,0.64574,0.5707399999999999,0.49456999999999995,0.4237,0.36648000000000003,9
1110,0.34126,0.37204,0.41934,0.51271,0.60132,0.6492100000000001,0.69814,0.74495,0.7844899999999999,0.81274,0.82735,0.8274299999999999,0.81309,0.78373,0.73611,0.66791,0.5857899999999999,0.50355,0.42662,0.36653,0.34175,0.37246999999999997,0.41968999999999995,0.51295,0.60169,0.64952,0.6983,0.745,0.78446,0.8126399999999999,0.82719,0.82721,0.81283,0.7834,0.73575,0.66759,0.58543,0.50316,0.42618,0.36605,6
3177,0.33776,0.35512,0.38638,0.45646000000000003,0.5264,0.56735,0.61535,0.6645800000000001,0.70765,0.74044,0.76061,0.76748,0.76094,0.7415,0.70377,0.64562,0.57062,0.49446,0.42361000000000004,0.36641999999999997,0.33813000000000004,0.35557,0.38685,0.45691000000000004,0.5269,0.56776,0.61568,0.66485,0.70786,0.7406,0.76074,0.76755,0.76097,0.7415,0.7037899999999999,0.64565,0.57063,0.49438000000000004,0.42345,0.36617,9
4465,0.33776999999999996,0.35512,0.38638,0.45646000000000003,0.5264,0.56735,0.61536,0.6645800000000001,0.70765,0.74044,0.76062,0.76748,0.76094,0.7415,0.70377,0.64562,0.57062,0.49446,0.42361000000000004,0.36641999999999997,0.33813000000000004,0.35557,0.38685,0.4569,0.5269,0.56776,0.61568,0.66484,0.70786,0.7406,0.76074,0.76755,0.76097,0.7415,0.7037899999999999,0.64565,0.57063,0.49438000000000004,0.42345,0.36617,9
2989,0.40895,0.4465,0.48891,0.55128,0.6279399999999999,0.68799,0.7175600000000001,0.7360399999999999,0.7470899999999999,0.75144,0.7580399999999999,0.75942,0.74643,0.72188,0.67745,0.61742,0.55218,0.49035,0.43853000000000003,0.40645,0.40903,0.44659,0.48899,0.55135,0.62802,0.68807,0.71764,0.73611,0.74715,0.75149,0.7580600000000001,0.75944,0.74644,0.72188,0.67745,0.61741,0.55216,0.49032,0.43848000000000004,0.40638,8
6048,0.37956999999999996,0.41652,0.46221999999999996,0.53194,0.61136,0.66498,0.6906899999999999,0.70625,0.71573,0.71924,0.725,0.72677,0.7157399999999999,0.69426,0.65266,0.59296,0.52287,0.45993,0.4076,0.37556,0.37905,0.41595,0.46178,0.53172,0.61111,0.6645300000000001,0.69022,0.70585,0.71541,0.71906,0.7249800000000001,0.72682,0.7158800000000001,0.6944,0.65268,0.5929399999999999,0.52303,0.46021000000000006,0.40801,0.37604,5
4237,0.36932,0.39596,0.43021000000000004,0.4915,0.574,0.62775,0.65258,0.66903,0.68155,0.69055,0.70343,0.7125600000000001,0.70894,0.69411,0.65769,0.60312,0.5374800000000001,0.47613999999999995,0.42168,0.38235,0.3697,0.39637,0.43062,0.49183999999999994,0.57433,0.6281399999999999,0.6529699999999999,0.66938,0.68185,0.69075,0.70353,0.71262,0.70894,0.6941,0.65773,0.60316,0.53743,0.47602,0.42146999999999996,0.38206,3
4931,0.40898,0.44653999999999994,0.48893000000000003,0.5513,0.6279600000000001,0.68801,0.71758,0.73605,0.7471,0.75144,0.75803,0.75941,0.74642,0.7218600000000001,0.67743,0.6174,0.55215,0.49032,0.4385,0.40641,0.409,0.44656,0.48896999999999996,0.5513399999999999,0.628,0.68805,0.71762,0.7361,0.74715,0.75149,0.75807,0.75945,0.74645,0.7219,0.6774600000000001,0.61743,0.55218,0.49035,0.43851,0.40641,8
5633,0.36296999999999996,0.39509,0.43306000000000006,0.49637,0.5738,0.62892,0.6554399999999999,0.67218,0.6834,0.68905,0.6966399999999999,0.70035,0.69167,0.6734600000000001,0.64291,0.5902,0.51818,0.45568000000000003,0.40386,0.3683,0.36298,0.39504,0.43287,0.49604,0.57345,0.62865,0.65518,0.67187,0.68306,0.68867,0.69624,0.69995,0.6912699999999999,0.67306,0.64253,0.58982,0.51782,0.45535,0.40359,0.36813,2
521,0.38966999999999996,0.41016,0.44133999999999995,0.49268,0.57089,0.62978,0.65423,0.66751,0.67556,0.67891,0.6854600000000001,0.6918300000000001,0.68655,0.67068,0.63505,0.58075,0.51379,0.45133999999999996,0.39662,0.35873,0.35115,0.38287,0.42265,0.49323999999999996,0.5764,0.62529,0.6519699999999999,0.67214,0.68879,0.70396,0.72214,0.73259,0.73055,0.71624,0.67923,0.62426,0.56012,0.49966000000000005,0.44531000000000004,0.40468000000000004,3
3078,0.30939,0.34775,0.40481,0.49423999999999996,0.5755399999999999,0.63016,0.67201,0.70528,0.73006,0.74432,0.74643,0.73588,0.71291,0.68016,0.63968,0.5869300000000001,0.5138699999999999,0.44001,0.37275,0.32152,0.30909000000000003,0.34753,0.4048,0.49437,0.5756100000000001,0.63017,0.67207,0.70541,0.73026,0.74459,0.74675,0.73625,0.71333,0.68062,0.64018,0.5874699999999999,0.51439,0.44054,0.37325,0.32197,7
6278,0.35883000000000004,0.40215,0.47033,0.57044,0.65189,0.7066100000000001,0.75832,0.80319,0.83798,0.8596,0.8663200000000001,0.8577100000000001,0.8343799999999999,0.79635,0.7408100000000001,0.66561,0.57695,0.49117,0.4151,0.36303,0.35856,0.40198,0.47013999999999995,0.57025,0.65176,0.70655,0.7583300000000001,0.80324,0.83806,0.85972,0.86646,0.85788,0.83455,0.79662,0.74111,0.66595,0.57722,0.49144,0.41536000000000006,0.36332,10
4129,0.36301,0.39514,0.43313,0.49646,0.57389,0.629,0.65552,0.6722600000000001,0.68348,0.68913,0.69672,0.7004199999999999,0.6917300000000001,0.67351,0.6429699999999999,0.59025,0.51823,0.45571000000000006,0.40388,0.36829,0.36295,0.39499,0.4328,0.49596,0.5733600000000001,0.62857,0.6551,0.67179,0.68298,0.6885899999999999,0.69617,0.6998800000000001,0.69121,0.67301,0.64247,0.5897600000000001,0.51777,0.45531000000000005,0.40357,0.36813,2
2419,0.3418,0.37254,0.41976,0.5130399999999999,0.60178,0.6496,0.69838,0.74508,0.7845300000000001,0.81271,0.82726,0.8272700000000001,0.81288,0.78345,0.7358,0.6676300000000001,0.5854699999999999,0.5031899999999999,0.42618999999999996,0.36604000000000003,0.34121999999999997,0.37196999999999997,0.41926,0.51261,0.60123,0.64912,0.69805,0.7448600000000001,0.78441,0.81267,0.8272799999999999,0.82736,0.81304,0.78368,0.73606,0.66786,0.58575,0.50353,0.42661000000000004,0.36654000000000003,6
2412,0.34643,0.38147,0.43864,0.53278,0.61524,0.6684399999999999,0.7189800000000001,0.7638199999999999,0.7996800000000001,0.82326,0.8326399999999999,0.8272299999999999,0.80753,0.77474,0.7300300000000001,0.66391,0.57412,0.49021000000000003,0.41617,0.36080999999999996,0.34585,0.38084,0.43799999999999994,0.53213,0.61452,0.66781,0.71846,0.76339,0.79933,0.8229799999999999,0.83242,0.8270799999999999,0.8074399999999999,0.77475,0.73011,0.66395,0.57419,0.49037,0.41644,0.36122,4
